0.15,0.44,7.51e-06
0.15,0.45,8.2e-06
0.15,0.46,8.89e-06
0.15,0.47,9.57e-06
0.15,0.48,1.03e-05
0.15,0.49,1.09e-05
0.15,0.5,1.16e-05
0.15,0.51,1.22e-05
0.15,0.52,1.28e-05
0.15,0.53,1.35e-05
0.15,0.54,1.41e-05
0.15,0.55,1.46e-05
0.15,0.56,1.52e-05
0.15,0.57,1.57e-05
0.15,0.58,1.63e-05
0.15,0.59,1.68e-05
0.15,0.6,1.73e-05
0.15,0.61,1.774e-05
0.15,0.62,1.82e-05
0.15,0.63,1.865e-05
0.15,0.64,1.907e-05
0.15,0.65,1.949e-05
0.15,0.66,1.989e-05
0.15,0.67,2.027e-05
0.15,0.68,2.064e-05
0.15,0.69,2.1e-05
0.15,0.7,2.134e-05
0.15,0.71,2.167e-05
0.15,0.72,2.199e-05
0.15,0.73,2.23e-05
0.15,0.74,2.26e-05
0.15,0.75,2.288e-05
0.15,0.76,2.316e-05
0.15,0.77,2.342e-05
0.15,0.78,2.368e-05
0.15,0.79,2.392e-05
0.15,0.8,2.416e-05
0.25,0.0,1.24e-11
0.25,0.01,1.8e-11
0.25,0.02,2.61e-11
0.25,0.03,3.79e-11
0.25,0.04,5.5e-11
0.25,0.05,8e-11
0.25,0.06,1.16e-10
0.25,0.07,1.69e-10
0.25,0.08,2.46e-10
0.25,0.09,3.58e-10
0.25,0.1,5.22e-10
0.25,0.11,7.59e-10
0.25,0.12,1.1e-09
0.25,0.13,1.61e-09
0.25,0.14,2.34e-09
0.25,0.15,3.4e-09
0.25,0.16,4.94e-09
0.25,0.17,7.19e-09
0.25,0.18,1.04e-08
0.25,0.19,1.52e-08
0.25,0.2,2.2e-08
0.25,0.21,3.18e-08
0.25,0.22,4.6e-08
0.25,0.23,6.63e-08
0.25,0.24,9.52e-08
0.25,0.25,1.36e-07
0.25,0.26,1.92e-07
0.25,0.27,2.7e-07
0.25,0.28,3.74e-07
0.25,0.29,5.12e-07
0.25,0.3,6.89e-07
0.25,0.31,9.12e-07
0.25,0.32,1.19e-06
0.25,0.33,1.51e-06
0.25,0.34,1.89e-06
0.25,0.35,2.33e-06
0.25,0.36,2.83e-06
0.25,0.37,3.37e-06
0.25,0.38,3.97e-06
0.25,0.39,4.61e-06
0.25,0.4,5.3e-06
0.25,0.41,6.02e-06
0.25,0.42,6.78e-06
0.25,0.43,7.57e-06
0.25,0.44,8.38e-06
0.25,0.45,9.22e-06
0.25,0.46,1.01e-05
0.25,0.47,1.09e-05
0.25,0.48,1.18e-05
0.25,0.49,1.27e-05
0.25,0.5,1.36e-05
0.25,0.51,1.45e-05
0.25,0.52,1.54e-05
0.25,0.53,1.62e-05
0.25,0.54,1.71e-05
0.25,0.55,1.8e-05
0.25,0.56,1.88e-05
0.25,0.57,1.97e-05
0.25,0.58,2.05e-05
0.25,0.59,2.13e-05
0.25,0.6,2.21e-05
0.25,0.61,2.29e-05
0.25,0.62,2.36e-05
0.25,0.63,2.44e-05
0.25,0.64,2.51e-05
0.25,0.65,2.58e-05
0.25,0.66,2.65e-05
0.25,0.67,2.71e-05
0.25,0.68,2.78e-05
0.25,0.69,2.84e-05
0.25,0.7,2.9e-05
0.25,0.71,2.96e-05
0.25,0.72,3.01e-05
0.25,0.73,3.07e-05
0.25,0.74,3.12e-05
0.25,0.75,3.17e-05
0.25,0.76,3.22e-05
0.25,0.77,3.27e-05
0.25,0.78,3.31e-05
0.25,0.79,3.36e-05
0.25,0.8,3.4e-05
0.35,0.0,1.4e-11
0.35,0.01,2.01e-11
0.35,0.02,2.9e-11
0.35,0.03,4.18e-11
0.35,0.04,6.06e-11
0.35,0.05,8.78e-11
0.35,0.06,1.28e-10
0.35,0.07,1.85e-10
0.35,0.08,2.69e-10
0.35,0.09,3.91e-10
0.35,0.1,5.68e-10
0.35,0.11,8.25e-10
0.35,0.12,1.2e-09
0.35,0.13,1.74e-09
0.35,0.14,2.53e-09
0.35,0.15,3.68e-09
0.35,0.16,5.34e-09
